"type","class","order","family","genus","sci_name_orig","sci_name_fb","nstocks"
"finfish","Actinopterygii","Cypriniformes","Cyprinidae","Abramis","Abramis brama","Abramis brama",2
"finfish","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius brasilianus","Acanthistius brasilianus",1
"finfish","Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Acanthocybium solandri",1
"finfish","Actinopterygii","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus schlegeli","Acanthopagrus schlegelii",1
"invertebrate","Malacostraca","Decapoda","Sergestidae","Acetes","Acetes japonicus","Acetes japonicus",3
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Aequipecten","Aequipecten opercularis","Aequipecten opercularis",3
"finfish","Actinopterygii","Perciformes","Carangidae","Alectis","Alectis alexandrinus","Alectis alexandrina",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","Alosa pseudoharengus",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","Alosa sapidissima",2
"finfish","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus","Ammodytes personatus",1
"invertebrate","Bivalvia","Arcoida","Arcidae","Tegillarca","Anadara granosa","Tegillarca granosa",3
"finfish","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","Anarhichas lupus",4
"finfish","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor","Anarhichas minor",1
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Anchoa nasus",1
"finfish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla",8
"finfish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","Anguilla rostrata",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Anodontostoma","Anodontostoma chacunda","Anodontostoma chacunda",3
"finfish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Anoplopoma fimbria",3
"finfish","Actinopterygii","Perciformes","Trichiuridae","Aphanopus","Aphanopus carbo","Aphanopus carbo",4
"finfish","Actinopterygii","Perciformes","Sparidae","Archosargus","Archosargus probatocephalus","Archosargus probatocephalus",1
"invertebrate","Bivalvia","Veneroida","Arcticidae","Arctica","Arctica islandica","Arctica islandica",2
"finfish","Actinopterygii","Perciformes","Trichodontidae","Arctoscopus","Arctoscopus japonicus","Arctoscopus japonicus",2
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten gibbus","Argopecten gibbus",1
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten irradians","Argopecten irradians",2
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten purpuratus","Argopecten purpuratus",1
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten ventricosus","Argopecten ventricosus",1
"finfish","Actinopterygii","Perciformes","Sparidae","Argyrops","Argyrops spinifer","Argyrops spinifer",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus hololepidotus","Argyrosomus hololepidotus",3
"finfish","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus regius","Argyrosomus regius",3
"finfish","Actinopterygii","Perciformes","Sparidae","Argyrozona","Argyrozona argyrozona","Argyrozona argyrozona",1
"invertebrate","Malacostraca","Decapoda","Aristeidae","Aristeus","Aristeus antennatus","Aristeus antennatus",1
"invertebrate","Malacostraca","Decapoda","Aristeidae","Aristeus","Aristeus varidens","Aristeus varidens",1
"finfish","Actinopterygii","Siluriformes","Ariidae","Netuma","Arius thalassinus","Netuma thalassina",1
"finfish","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis georgianus","Arripis georgianus",1
"finfish","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta","Arripis trutta",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Artemesia","Artemesia longinaris","Artemesia longinaris",1
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes evermanni","Atheresthes evermanni",2
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Atheresthes stomias",1
"finfish","Actinopterygii","Atheriniformes","Atherinidae","Atherina","Atherina boyeri","Atherina boyeri",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","Atractoscion aequidens","Atractoscion aequidens",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","Atractoscion nobilis","Atractoscion nobilis",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Atrobucca","Atrobucca nibe","Atrobucca nibe",1
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Aulacomya","Aulacomya ater","Aulacomya ater",2
"finfish","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus","Austroglossus microlepis","Austroglossus microlepis",2
"finfish","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus","Austroglossus pectoralis","Austroglossus pectoralis",1
"finfish","Actinopterygii","Beloniformes","Belonidae","Belone","Belone belone","Belone belone",4
"finfish","Actinopterygii","Myctophiformes","Myctophidae","Benthosema","Benthosema pterotum","Benthosema pterotum",1
"finfish","Actinopterygii","Perciformes","Sparidae","Boops","Boops boops","Boops boops",13
"finfish","Actinopterygii","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","Boreogadus saida",1
"finfish","Actinopterygii","Perciformes","Haemulidae","Brachydeuterus","Brachydeuterus auritus","Brachydeuterus auritus",7
"finfish","Actinopterygii","Perciformes","Bramidae","Brama","Brama australis","Brama australis",1
"finfish","Actinopterygii","Perciformes","Bramidae","Brama","Brama brama","Brama brama",3
"finfish","Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros","Bregmaceros mcclellandi","Bregmaceros mcclellandi",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia aurea","Brevoortia aurea",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","Brevoortia patronus",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","Brevoortia tyrannus",2
"finfish","Actinopterygii","Gadiformes","Lotidae","Brosme","Brosme brosme","Brosme brosme",7
"finfish","Actinopterygii","Ophidiiformes","Ophidiidae","Brotula","Brotula barbata","Brotula barbata",1
"invertebrate","Gastropoda","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum",3
"invertebrate","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes danae","Callinectes danae",1
"invertebrate","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus","Callinectes sapidus",5
"finfish","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Callorhinchus callorynchus",2
"finfish","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus capensis","Callorhinchus capensis",1
"finfish","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus milii","Callorhinchus milii",1
"invertebrate","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","Cancer borealis",1
"invertebrate","Malacostraca","Decapoda","Cancridae","Metacarcinus","Cancer edwardsii","Metacarcinus edwardsii",1
"invertebrate","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Cancer irroratus",2
"invertebrate","Malacostraca","Decapoda","Cancridae","Metacarcinus","Cancer magister","Metacarcinus magister",3
"invertebrate","Malacostraca","Decapoda","Cancridae","Cancer","Cancer pagurus","Cancer pagurus",4
"invertebrate","Malacostraca","Decapoda","Cancridae","Cancer","Cancer productus","Cancer productus",1
"finfish","Actinopterygii","Perciformes","Carangidae","Carangoides","Carangoides bajad","Carangoides bajad",1
"finfish","Actinopterygii","Perciformes","Carangidae","Caranx","Caranx crysos","Caranx crysos",2
"finfish","Actinopterygii","Perciformes","Carangidae","Caranx","Caranx hippos","Caranx hippos",3
"finfish","Actinopterygii","Perciformes","Carangidae","Caranx","Caranx ignobilis","Caranx ignobilis",1
"finfish","Actinopterygii","Perciformes","Carangidae","Caranx","Caranx rhonchus","Caranx rhonchus",1
"finfish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus falciformis","Carcharhinus falciformis",2
"invertebrate","Malacostraca","Decapoda","Portunidae","Carcinus","Carcinus maenas","Carcinus maenas",2
"finfish","Actinopterygii","Beryciformes","Berycidae","Centroberyx","Centroberyx affinis","Centroberyx affinis",1
"finfish","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","Centrophorus granulosus","Centrophorus granulosus",1
"finfish","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","Centrophorus squamosus","Centrophorus squamosus",1
"finfish","Actinopterygii","Perciformes","Centropomidae","Centropomus","Centropomus undecimalis","Centropomus undecimalis",2
"finfish","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Centropristis striata",2
"finfish","Elasmobranchii","Squaliformes","Somniosidae","Centroscymnus","Centroscymnus coelolepis","Centroscymnus coelolepis",1
"finfish","Actinopterygii","Perciformes","Serranidae","Cephalopholis","Cephalopholis boenak","Cephalopholis boenak",2
"invertebrate","Bivalvia","Veneroida","Cardiidae","Cerastoderma","Cerastoderma edule","Cerastoderma edule",5
"invertebrate","Malacostraca","Decapoda","Galatheidae","Cervimunida","Cervimunida johni","Cervimunida johni",1
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis edentulus","Cetengraulis edentulus",1
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","Cetengraulis mysticetus",3
"finfish","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus","Cetorhinus maximus",1
"invertebrate","Malacostraca","Decapoda","Geryonidae","Chaceon","Chaceon affinis","Chaceon affinis",1
"invertebrate","Malacostraca","Decapoda","Geryonidae","Chaceon","Chaceon maritae","Chaceon maritae",1
"invertebrate","Malacostraca","Decapoda","Geryonidae","Chaceon","Chaceon notialis","Chaceon notialis",1
"invertebrate","Malacostraca","Decapoda","Geryonidae","Chaceon","Chaceon quinquedens","Chaceon quinquedens",1
"invertebrate","Bivalvia","Veneroida","Veneridae","Chamelea","Chamelea gallina","Chamelea gallina",5
"finfish","Actinopterygii","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","Chanos chanos",1
"finfish","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","Cheilodactylus bergi","Nemadactylus bergi",2
"finfish","Actinopterygii","Perciformes","Cheilodactylidae","Cheilodactylus","Cheilodactylus variegatus","Cheilodactylus variegatus",1
"finfish","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys","Chelidonichthys capensis","Chelidonichthys capensis",1
"finfish","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys","Chelidonichthys kumu","Chelidonichthys kumu",2
"invertebrate","Bivalvia","Veneroida","Veneridae","Chione","Chione stutchburyi","Chione stutchburyi",1
"invertebrate","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes bairdi","Chionoecetes bairdi",1
"invertebrate","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes japonicus","Chionoecetes japonicus",1
"invertebrate","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes opilio","Chionoecetes opilio",3
"finfish","Actinopterygii","Clupeiformes","Chirocentridae","Chirocentrus","Chirocentrus dorab","Chirocentrus dorab",3
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Chlamys","Chlamys islandica","Chlamys islandica",3
"finfish","Actinopterygii","Perciformes","Carangidae","Chloroscombrus","Chloroscombrus chrysurus","Chloroscombrus chrysurus",4
"finfish","Actinopterygii","Perciformes","Carangidae","Chloroscombrus","Chloroscombrus orqueta","Chloroscombrus orqueta",1
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Choromytilus","Choromytilus chorus","Choromytilus chorus",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Cilus","Cilus gilberti","Cilus gilberti",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupanodon","Clupanodon thrissa","Clupanodon thrissa",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus",19
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Clupea pallasii pallasii",7
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupeonella","Clupeonella cultriventris","Clupeonella cultriventris",2
"finfish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","Cololabis saira",4
"invertebrate","Gastropoda","Neogastropoda","Muricidae","Concholepas","Concholepas concholepas","Concholepas concholepas",2
"finfish","Actinopterygii","Anguilliformes","Congridae","Conger","Conger conger","Conger conger",7
"finfish","Actinopterygii","Anguilliformes","Congridae","Conger","Conger myriaster","Conger myriaster",1
"finfish","Actinopterygii","Perciformes","Haemulidae","Conodon","Conodon nobilis","Conodon nobilis",1
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","Coregonus albula","Coregonus albula",2
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","Coregonus lavaretus","Coregonus lavaretus",2
"finfish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Coryphaena hippurus",16
"finfish","Actinopterygii","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris","Coryphaenoides rupestris",4
"invertebrate","Malacostraca","Decapoda","Crangonidae","Crangon","Crangon crangon","Crangon crangon",6
"invertebrate","Bivalvia","Ostreoida","Ostreidae","Crassostrea","Crassostrea gigas","Crassostrea gigas",3
"invertebrate","Bivalvia","Ostreoida","Ostreidae","Crassostrea","Crassostrea rhizophorae","Crassostrea rhizophorae",2
"invertebrate","Bivalvia","Ostreoida","Ostreidae","Crassostrea","Crassostrea virginica","Crassostrea virginica",4
"finfish","Actinopterygii","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","Cyclopterus lumpus",4
"finfish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion analis","Cynoscion analis",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion guatucupa","Cynoscion guatucupa",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion nebulosus","Cynoscion nebulosus",2
"finfish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis","Cynoscion regalis",2
"finfish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion striatus","Cynoscion striatus",1
"finfish","Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon","Cypselurus agoo","Cheilopogon agoo",1
"finfish","Elasmobranchii","Squaliformes","Dalatiidae","Dalatias","Dalatias licha","Dalatias licha",1
"finfish","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis akajei","Dasyatis akajei",1
"finfish","Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus maruadsi","Decapterus maruadsi",2
"finfish","Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus russelli","Decapterus russelli",5
"finfish","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex angolensis","Dentex angolensis",1
"finfish","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex dentex","Dentex dentex",3
"finfish","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex macrophthalmus","Dentex macrophthalmus",1
"finfish","Actinopterygii","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","Dicentrarchus labrax",8
"finfish","Actinopterygii","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus punctatus","Dicentrarchus punctatus",1
"finfish","Actinopterygii","Pleuronectiformes","Soleidae","Dicologlossa","Dicologlossa cuneata","Dicologlossa cuneata",2
"finfish","Actinopterygii","Perciformes","Sparidae","Diplodus","Diplodus sargus","Diplodus sargus sargus",1
"finfish","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus eleginoides","Dissostichus eleginoides",3
"invertebrate","Cephalopoda","Teuthida","Ommastrephidae","Dosidicus","Dosidicus gigas","Dosidicus gigas",3
"finfish","Actinopterygii","Perciformes","Drepaneidae","Drepane","Drepane africana","Drepane africana",3
"finfish","Actinopterygii","Perciformes","Drepaneidae","Drepane","Drepane punctata","Drepane punctata",1
"finfish","Actinopterygii","Clupeiformes","Dussumieriidae","Dussumieria","Dussumieria acuta","Dussumieria acuta",3
"finfish","Actinopterygii","Perciformes","Carangidae","Elagatis","Elagatis bipinnulata","Elagatis bipinnulata",4
"finfish","Actinopterygii","Perciformes","Eleginopsidae","Eleginops","Eleginops maclovinus","Eleginops maclovinus",1
"finfish","Actinopterygii","Gadiformes","Gadidae","Eleginus","Eleginus gracilis","Eleginus gracilis",1
"finfish","Actinopterygii","Gadiformes","Gadidae","Eleginus","Eleginus navaga","Eleginus nawaga",1
"finfish","Actinopterygii","Perciformes","Polynemidae","Eleutheronema","Eleutheronema tetradactylum","Eleutheronema tetradactylum",2
"finfish","Actinopterygii","Elopiformes","Elopidae","Elops","Elops lacerta","Elops lacerta",1
"finfish","Actinopterygii","Elopiformes","Elopidae","Elops","Elops saurus","Elops saurus",1
"finfish","Actinopterygii","Perciformes","Emmelichthyidae","Emmelichthys","Emmelichthys nitidus","Emmelichthys nitidus nitidus",2
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","Engraulis anchoita",1
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis capensis","Engraulis capensis",2
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus",20
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus","Engraulis japonicus",4
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Engraulis mordax",2
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Engraulis ringens",2
"finfish","Actinopterygii","Perciformes","Epigonidae","Epigonus","Epigonus telescopus","Epigonus telescopus",1
"finfish","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus aeneus","Epinephelus aeneus",1
"finfish","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus marginatus","Epinephelus marginatus",2
"finfish","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus morio","Epinephelus morio",2
"finfish","Actinopterygii","Esociformes","Esocidae","Esox","Esox lucius","Esox lucius",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Ethmalosa","Ethmalosa fimbriata","Ethmalosa fimbriata",10
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Ethmidium","Ethmidium maculatum","Ethmidium maculatum",2
"finfish","Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus","Etrumeus teres","Etrumeus sadina",3
"finfish","Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus","Etrumeus whiteheadi","Etrumeus whiteheadi",1
"finfish","Actinopterygii","Perciformes","Scombridae","Euthynnus","Euthynnus affinis","Euthynnus affinis",20
"finfish","Actinopterygii","Perciformes","Scombridae","Euthynnus","Euthynnus alletteratus","Euthynnus alletteratus",9
"finfish","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","Eutrigla gurnardus",1
"finfish","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus",5
"finfish","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua",24
"finfish","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus ogac","Gadus ogac",1
"finfish","Actinopterygii","Perciformes","Polynemidae","Galeoides","Galeoides decadactylus","Galeoides decadactylus",9
"finfish","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus","Galeorhinus galeus",2
"finfish","Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","Gasterosteus aculeatus",1
"finfish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Genypterus blacodes",4
"finfish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus capensis","Genypterus capensis",2
"finfish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus chilensis","Genypterus chilensis",1
"finfish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus maculatus","Genypterus maculatus",1
"finfish","Actinopterygii","Perciformes","Kyphosidae","Girella","Girella tricuspidata","Girella tricuspidata",1
"finfish","Actinopterygii","Osmeriformes","Argentinidae","Glossanodon","Glossanodon semifasciatus","Glossanodon semifasciatus",1
"invertebrate","Bivalvia","Arcoida","Glycymerididae","Glycymeris","Glycymeris glycymeris","Glycymeris glycymeris",1
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus",9
