"assessid","stockid","stocklong","country","region","area","lat_dd","long_dd","area_sqkm","common_name","sci_name","yr1","yr2","nyr","collapse","nyrs.collapsed","yr.1st.collapse"
"SPC-YFINCWPAC-1952-2012-PONS","YFINCWPAC","Yellowfin tuna Central Western Pacific","multinational","Pacific Ocean","Central Western Pacific Ocean",7.04059227203888,150.836135090351,53378563.0071583,"Yellowfin tuna","Thunnus albacares",1952,2011,60,"no",0,Inf
"DFO-PAC-PCOD5AB-1945-2014-OSGOOD","PCOD5AB","Pacific cod Queen Charlotte Sound","Canada","Canada West Coast","Queen Charlotte Sound",51.239012749019,-132.113569484655,109179.123208211,"Pacific cod","Gadus macrocephalus",1956,2014,59,"yes",6,1997
"DFO-PAC-PCODHS-1944-2014-OSGOOD","PCODHS","Pacific cod Hecate Strait","Canada","Canada West Coast","Hecate Strait",53.0910311356626,-133.460542402941,146949.829107123,"Pacific cod","Gadus macrocephalus",1956,2014,59,"no",0,Inf
"NIWA-SMOOTHOREOCR-1955-2013-FU","SMOOTHOREOCR","Smooth oreo Chatham Rise","New Zealand","New Zealand","Chatham Rise",-44.0904225697957,-175.697578653064,424644.549722865,"Smooth oreo","Pseudocyttus maculatus",1955,2013,59,"no",0,Inf
"ICCAT-ALBASATL-1950-2015-PONS","ALBASATL","Albacore tuna South Atlantic","multinational","Atlantic Ocean","South Atlantic",-42.9091679378942,-22.2653897603318,46463577.2645991,"albacore tuna","Thunnus alalunga",1956,2012,57,"no",0,Inf
"ICCAT-SKJEATL-1950-2010-CHING","SKJEATL","Skipjack tuna Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic",13.9216958825234,-1.80264827281735,32051347.8882674,"Skipjack tuna","Katsuwonus pelamis",1950,2006,57,"no",0,Inf
"ICCAT-SWORDSATL-1950-2015-PONS","SWORDSATL","Swordfish South Atlantic","multinational","Atlantic Ocean","South Atlantic",-42.9091679378942,-22.2653897603318,46463577.2645991,"Swordfish","Xiphias gladius",1956,2012,57,"no",0,Inf
"AFSC-GHALBSAI-1960-2015-HIVELY","GHALBSAI","Greenland turbot Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",57.8980221696891,-171.49918806879,490087.604242103,"Greenland halibut","Reinhardtius hippoglossoides",1960,2015,56,"no",0,Inf
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET","BNOSESHARATL","Blacknose shark Atlantic","USA","US Southeast and Gulf","Atlantic",27.6548913686046,-84.1184624692604,267493.646649634,"Blacknose shark","Carcharhinus acronotus",1950,2005,56,"no",0,Inf
"SEFSC-RSNAPSATLC-1954-2010-HIVELY","RSNAPSATLC","Red snapper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Red snapper","Lutjanus campechanus",1955,2010,56,"yes",26,1985
"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET","SNOSESHARATL","Atlantic sharpnose shark Atlantic","USA","Atlantic Ocean","Atlantic",27.9534366219539,-88.1732878818093,451937.880823843,"Atlantic sharpnose shark","Rhizoprionodon terraenovae",1950,2005,56,"no",0,Inf
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","SBELLYROCKPCOAST","Shortbelly rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Shortbelly rockfish","Sebastes jordani",1950,2005,56,"no",0,Inf
"ICCAT-BMARLINATL-1956-2010-CHING","BMARLINATL","Blue marlin Atlantic","multinational","Atlantic Ocean","Atlantic Ocean",7.39447239992646,-22.4521994193636,94627091.8806495,"Blue marlin","Makaira nigricans",1956,2010,55,"no",0,Inf
"ICCAT-WMARLINATL-1956-2011-CHING","WMARLINATL","White marlin Atlantic","multinational","Atlantic Ocean","Atlantic Ocean",7.39447239992646,-22.4521994193636,94627091.8806495,"white marlin","Tetrapturus albidus",1956,2010,55,"no",0,Inf
"NAFO-SC-REDFISHSPP3LN-1959-2013-WATSON","REDFISHSPP3LN","Redfish species NAFO 3LN","multinational","Canada East Coast","N and SW Grand Banks",44.7015632447916,-49.2957057439628,476973.544548099,"Redfish species","Sebastes spp",1959,2013,55,"yes",5,1994
"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","GEMFISHNZ","common gemfish New Zealand","New Zealand","New Zealand","New Zealand",-35.7821926920325,174.566475860755,981971.234709097,"common gemfish","Rexea solandri",1952,2006,55,"no",0,Inf
"SPC-BIGEYEWPO-1952-2006-JENSEN","BIGEYEWPO","Bigeye tuna Western Pacific Ocean","multinational","Pacific Ocean","Western Pacific Ocean",-2.21016495085646,-140.633873858923,87038360.9465861,"Bigeye tuna","Thunnus obesus",1952,2006,55,"no",0,Inf
"ICCAT-SAILEATL-1956-2010-CHING","SAILEATL","Sailfish Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic",19.8472858925909,-3.49122597378675,54110640.7699108,"Sailfish","Istiophorus albicans",1957,2008,52,"no",0,Inf
"ICCAT-SAILWATL-1956-2010-CHING","SAILWATL","Sailfish Western Atlantic","multinational","Atlantic Ocean","Western Atlantic",-11.7471978961464,-51.920626370172,43513242.43717,"Sailfish","Istiophorus albicans",1957,2008,52,"no",0,Inf
"AFSC-SABLEFEBSAIGA-1958-2010-STACHURA","SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","USA","US Alaska","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",57.2933831608997,-150.983151582443,319917.206758087,"Sablefish","Anoplopoma fimbria",1960,2010,51,"no",0,Inf
"AFSC-WPOLLEBS-1963-2015-HIVELY","WPOLLEBS","Walleye pollock Eastern Bering Sea","USA","US Alaska","Eastern Bering Sea",58.3644406184641,-169.598753979484,690511.17437748,"Walleye pollock","Theragra chalcogramma",1964,2014,51,"no",0,Inf
"DFO-SG-WITFLOUN4RST-1960-2011-OSGOOD","WITFLOUN4RST","Witch flounder Gulf of St. Lawrence","Canada","Canada East Coast","Gulf of St. Lawrence",48.6930703861699,-62.2570219072791,235063.495939675,"Witch flounder","Glyptocephalus cynoglossus",1961,2011,51,"yes",4,1993
"NAFO-SC-YELL3LNO-1960-2015-WATSON","YELL3LNO","Yellowtail Flounder NAFO 3LNO","multinational","Canada East Coast","Grand Banks",44.4673144654127,-50.0282133046627,620326.403097525,"Yellowtail Flounder","Limanda ferruginea",1965,2015,51,"no",0,Inf
"NIWA-PAUAPAU7-1965-2015-FU","PAUAPAU7","New Zealand abalone species New Zealand Area PAU 7","New Zealand","New Zealand","New Zealand Area PAU 7 (Marlborough)",-41.000151839917,173.559226923098,10924.8048377273,"New Zealand abalone species","Haliotis iris",1965,2015,51,"no",0,Inf
"PFMC-PHAKEPCOAST-1966-2016-WATSON","PHAKEPCOAST","Pacific hake Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Pacific hake","Merluccius productus",1966,2016,51,"no",0,Inf
"SPC-ALBASPAC-1960-2010-PONS","ALBASPAC","Albacore tuna South Pacific Ocean","multinational","Pacific Ocean","South Pacific Ocean",-22.1190056554868,-127.119698363939,63736984.4518902,"Albacore tuna","Thunnus alalunga",1960,2010,51,"no",0,Inf
"AFSC-ARFLOUNDGA-1958-2010-STACHURA","ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","USA","US Alaska","Gulf of Alaska",57.1116957510793,-151.365036251316,331532.639628299,"Arrowtooth flounder","Atheresthes stomias",1961,2010,50,"no",0,Inf
"AFSC-NROCKGA-1959-2010-STACHURA","NROCKGA","Northern rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska",56.4881243317215,-154.683734976033,151655.753382967,"Northern rockfish","Sebastes polyspinis",1961,2010,50,"no",0,Inf
"AFSC-POPERCHGA-1959-2010-STACHURA","POPERCHGA","Pacific ocean perch Gulf of Alaska","USA","US Alaska","Gulf of Alaska",56.7316266711704,-153.585989368525,171582.98446783,"Pacific ocean perch","Sebastes alutus",1961,2010,50,"no",0,Inf
"CSIRO-BIGHTREDSE-1958-2007-FULTON","BIGHTREDSE","Bight redfish Southeast Australia","Australia","Australia","Southeast Australia",-36.8655773599365,136.956047294523,527328.431631896,"Bight redfish","Centroberyx gerrardi",1958,2007,50,"no",0,Inf
"NIWA-PAUANPAU5A-1965-2014-FU","PAUANPAU5A","Black Foot Paua NZ North PAUA5A","New Zealand","New Zealand","NZ Area North PAUA 5A",-44.8400644281485,167.291226642469,3233.6174663829,"black foot paua","Haliotis iris",1965,2014,50,"no",0,Inf
"NIWA-PAUASPAU5A-1965-2014-FU","PAUASPAU5A","Black Foot Paua NZ South PAUA5A","New Zealand","New Zealand","NZ Area South PAUA 5A",-45.9643772338982,166.737536380887,4054.93454970428,"black foot paua","Haliotis iris",1965,2014,50,"no",0,Inf
"PFMC-CABEZNCAL-1930-2009-CHING","CABEZNCAL","Cabezon Northern California","USA","US West Coast","Northern California",39.1651993998497,-124.731790436169,163996.24774737,"Cabezon","Scorpaenichthys marmoratus",1960,2009,50,"no",0,Inf
"PFMC-CABEZSCAL-1930-2009-CHING","CABEZSCAL","Cabezon Southern California","USA","US West Coast","Southern California",33.0720325333246,-119.456713828192,91849.8244958058,"Cabezon","Scorpaenichthys marmoratus",1960,2009,50,"no",0,Inf
"SEFSC-GAGGM-1963-2012-HIVELY","GAGGM","Gag Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"Gag","Mycteroperca microlepis",1963,2012,50,"yes",8,1975
"SEFSC-TILESATLC-1961-2011-HIVELY","TILESATLC","Tilefish Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Tilefish","Lopholatilus chamaeleonticeps",1962,2011,50,"no",0,Inf
"VNIRO-WPOLLNSO-1963-2012-CHING","WPOLLNSO","Walleye pollock Northern Sea of Okhotsk","Russia","Russia Japan","Northern Sea of Okhotsk",56.0691141374089,146.625141936681,854633.948967614,"Walleye pollock","Theragra chalcogramma",1963,2012,50,"no",0,Inf
"DFO-PORSHARATL-1960-2014-OSGOOD","PORSHARATL","Porbeagle shark Atlantic Ocean","Canada","Canada East Coast","Canadian Atlantic Ocean",44.1990332658018,-59.0071080694298,1628857.57742568,"Porbeagle shark","Lamna nasus",1961,2009,49,"no",0,Inf
"NEFSC-WHAKEGBGOM-1962-2011-HIVELY","WHAKEGBGOM","White hake Georges Bank / Gulf of Maine","USA","US East Coast","Gulf of Maine / Georges Bank",42.8879300974102,-68.9209990938618,85828.6545736726,"White hake","Urophycis tenuis",1963,2011,49,"no",0,Inf
"NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY","LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Longspine thornyhead","Sebastolobus altivelis",1964,2012,49,"no",0,Inf
"NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU","PAUAPAU5B","New Zealand abalone species New Zealand Area PAU 5B","New Zealand","New Zealand","New Zealand Area PAU 5B (Stewart Island)",-46.9836808590185,167.898286908047,4685.55494189383,"New Zealand abalone species","Haliotis iris",1965,2013,49,"no",0,Inf
"NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU","PAUAPAU5D","New Zealand abalone species New Zealand Area PAU 5D","New Zealand","New Zealand","New Zealand Area PAU 5D (Otago)",-46.1916267460831,169.698428401506,7591.8823052064,"New Zealand abalone species","Haliotis iris",1965,2012,48,"no",0,Inf
"SEFSC-GTRIGGM-1962-2010-HIVELY","GTRIGGM","Gray triggerfish Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"Gray triggerfish","Balistes capriscus",1963,2010,48,"no",0,Inf
"AFSC-YSOLEBSAI-1949-2010-STACHURA","YSOLEBSAI","Yellowfin sole Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",58.3824157596369,-166.278452917282,372364.200183539,"Yellowfin sole","Limanda aspera",1964,2010,47,"yes",3,1972
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","PCODWCVANI","Pacific cod West Coast of Vancouver Island","Canada","Canada West Coast","West Coast of Vancouver Island",49.0161576350977,-129.933625394439,178610.899749574,"Pacific cod","Gadus macrocephalus",1956,2002,47,"no",0,Inf
"ICCAT-ALBAMED-1956-2011-CHING","ALBAMED","Albacore tuna Mediterranean","multinational","Mediterranean-Black Sea","Mediterranean Sea",38.1524680121356,19.6236523444499,2996793.21237004,"albacore tuna","Thunnus alalunga",1965,2011,47,"no",0,Inf
"IMARPE-PANCHPERUNC-1959-2008-HIVELY","PANCHPERUNC","Peruvian anchoveta North-Central Peru","Peru","South America","North-Central Peruvian coast",-10.7000626817091,-79.1874065031613,348063.244032082,"Peruvian anchoveta","Engraulis ringens",1962,2008,47,"no",0,Inf
"ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","Albacore tuna North Pacific","Multinational","US West Coast","North Pacific Ocean",24.746313911019,-145.283358386685,59775902.6070429,"Albacore tuna","Thunnus alalunga",1966,2012,47,"no",0,Inf
"NEFSC-HERRNWATLC-1964-2011-HIVELY","HERRNWATLC","Atlantic herring Northwestern Atlantic Coast","USA","US East Coast","Northwestern Atlantic Coast",41.0710788790715,-70.8992109892084,171027.522985361,"Herring","Clupea harengus",1965,2011,47,"no",0,Inf
"NIWA-NZLINGLIN3-4-1968-2014-FU","NZLINGLIN3-4","New Zealand ling New Zealand Areas LIN 3 and 4","New Zealand","New Zealand","New Zealand Areas LIN 3 and 4",-44.0904225697957,-175.697578653064,558280.051111566,"Ling","Genypterus blacodes",1968,2014,47,"no",0,Inf
"NIWA-NZLINGLIN5-6-1968-2014-FU","NZLINGLIN5-6","New Zealand ling New Zealand Areas LIN 5 and 6","New Zealand","New Zealand","New Zealand Areas LIN 5 and 6",-50.3030125815639,168.248439321943,980299.511670519,"Ling","Genypterus blacodes",1968,2014,47,"no",0,Inf
"DFO-PAC-SABLEFPCAN-1913-2010-HIVELY","SABLEFPCAN","Sablefish Pacific Coast of Canada","Canada","Canada West Coast","Pacific Coast of Canada",50.9121246276172,-131.132951267607,453060.855989601,"Sablefish","Anoplopoma fimbria",1965,2010,46,"no",0,Inf
"NIWA-HOKIENZ-1970-2015-FU","HOKIENZ","Hoki Eastern New Zealand","New Zealand","New Zealand","Eastern New Zealand",-45.6977351510341,176.093778349101,1380426.4865452,"Hoki","Macruronus novaezelandiae",1970,2015,46,"no",0,Inf
"NIWA-HOKIWNZ-1970-2015-FU","HOKIWNZ","Hoki Western New Zealand","New Zealand","New Zealand","Western New Zealand",-44.0221391661647,168.576443229593,1543883.33438057,"Hoki","Macruronus novaezelandiae",1970,2015,46,"no",0,Inf
"NIWA-SMOOTHOREOWECR-1965-2009-CORDUE","SMOOTHOREOWECR","Smooth oreo West end of Chatham Rise","New Zealand","New Zealand","West end of Chatham Rise",-44.2341488940611,173.912333600008,139670.851669235,"Smooth oreo","Pseudocyttus maculatus",1965,2009,45,"no",0,Inf
"NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1968-2012-FU","NZLINGLIN7WC","New Zealand ling New Zealand Area LIN 7WC - WCSI","New Zealand","New Zealand","New Zealand Areas LIN 7WC-WCSI",-41.4428726255274,168.517220608054,331349.706665884,"Ling","Genypterus blacodes",1968,2012,45,"no",0,Inf
"NIWA-GSTRGZRSTA7-1964-2007-CORDUE","GSTRGZRSTA7","Giant stargazer NZ Area STA7","New Zealand","New Zealand","NZ Area STA7",-41.5512034954411,168.669628975536,334089.318664298,"Giant stargazer","Kathetostoma giganteum",1964,2007,44,"no",0,Inf
"SEFSC-GAGSATLC-1962-2005-JENSEN","GAGSATLC","Gag Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Gag","Mycteroperca microlepis",1962,2005,44,"no",0,Inf
"ICCAT-ATBTUNAWATL-1950-2015-PONS","ATBTUNAWATL","Bluefin tuna Western Atlantic","multinational","Atlantic Ocean","Western Atlantic",-11.7471978961464,-51.920626370172,43513242.43717,"Atlantic bluefin tuna","Thunnus thynnus",1970,2012,43,"no",0,Inf
"MARAM-CHSQUIDSA-1971-2013-GLAZER","CHSQUIDSA","Cape Hope squid South Africa","South Africa","South Africa","South Africa",-34.6554583175687,19.2685633477411,609628.82080682,"Cape Hope squid","Loligo reynaudii",1971,2013,43,"no",0,Inf
"NZMFishMIDDEPTHSWG-NZLINGLIN72-1968-2010-FU","NZLINGLIN72","New Zealand ling New Zealand Area LIN 72","New Zealand","New Zealand","New Zealand Areas LIN 72",-41.6769452374217,174.630768571682,9762.16426350523,"Ling","Genypterus blacodes",1968,2010,43,"no",0,Inf
"CSIRO-GEMFISHSE-1966-2007-FULTON","GEMFISHSE","common gemfish Southeast Australia","Australia","Australia","Southeast Australia",-35.304121585098,133.843120354193,2815653.6284756,"common gemfish","Rexea solandri",1966,2007,42,"yes",8,1999
"NEFSC-TILEMATLC-1915-2012-HIVELY","TILEMATLC","Tilefish Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast",39.7116410037632,-70.583919444216,16175.241168698,"Tilefish","Lopholatilus chamaeleonticeps",1971,2012,42,"no",0,Inf
"ISC-BMARLINPAC-1952-2011-PONS","BMARLINPAC","Blue marlin Pacific Ocean","Multinational","Pacific Ocean","Pacific Ocean",-5.15857173084969,-132.921796983369,80815018.1007028,"blue marlin","Makaira nigricans",1971,2011,41,"no",0,Inf
"NIWA-SOUTHHAKESA-1974-2014-FU","SOUTHHAKESA","Southern hake Sub-Antarctic","New Zealand","New Zealand","Sub-Antarctic",-49.9034034447585,169.82645634039,1232992.22501362,"Southern hake","Merluccius australis",1974,2014,41,"no",0,Inf
"SWFSC-GOPHERSPCOAST-1965-2005-STANTON","GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast",39.1651993998497,-124.731790436169,163996.24774737,"Gopher rockfish","Sebastes carnatus",1965,2005,41,"no",0,Inf
"CSIRO-NZLINGESE-1968-2007-FULTON","NZLINGESE","New Zealand ling Eastern half of Southeast Australia","Australia","Australia","Southeast Australia",-39.2639535353221,148.504164944276,109569.780594124,"Ling","Genypterus blacodes",1968,2007,40,"no",0,Inf
"CSIRO-NZLINGWSE-1968-2007-FULTON","NZLINGWSE","New Zealand ling Western half of Southeast Australia","Australia","Australia","Western half of Southeast Australia",-35.4186277782849,133.024812788515,484952.949679374,"Ling","Genypterus blacodes",1968,2007,40,"no",0,Inf
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","BSBASSMATLC","Black sea bass Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast",38.6308262299431,-73.8954052282482,116236.195501271,"Black sea bass","Centropristis striata",1968,2007,40,"no",0,Inf
"NEFSC-POLL5YZ-1960-2009-CHING","POLL5YZ","Pollock NAFO-5YZ","USA","US East Coast","Gulf of Maine / Georges Bank",42.6791696878005,-68.8464584347551,80540.8395350834,"Pollock","Pollachius virens",1970,2009,40,"no",0,Inf
"NIWA-SOUTHHAKEWCSI-1973-2012-FU","SOUTHHAKEWCSI","Southern hake West Coast South Island","New Zealand","New Zealand","West Coast South Island",-41.6049941383665,168.342762988616,314254.659470368,"Southern hake","Merluccius australis",1973,2012,40,"no",0,Inf
"SEFSC-RPORGYSATLC-1972-2012-HIVELY","RPORGYSATLC","Red porgy Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Red porgy","Pagrus pagrus",1972,2011,40,"no",0,Inf
"SEFSC-SNOWGROUPSATLC-1974-2013-HIVELY","SNOWGROUPSATLC","Snowy grouper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Snowy grouper","Epinephelus niveatus",1974,2013,40,"no",0,Inf
"SPC-SKJCWPAC-1950-2012-PONS","SKJCWPAC","Skipjack tuna Central Western Pacific","multinational","Pacific Ocean","Central Western Pacific Ocean",13.2162391781975,148.809385341556,55449181.5378947,"Skipjack tuna","Katsuwonus pelamis",1972,2011,40,"no",0,Inf
"NEFSC-SCALL5ZMAB-1964-2013-HIVELY","SCALL5ZMAB","Sea scallop Georges Bank and Mid-Atlantic Bight","USA","US East Coast","Georges Bank and Mid-Atlantic Bight",41.2549621419923,-69.1690155292971,83516.4745063944,"Sea scallop","Placopecten magellanicus",1975,2013,39,"yes",9,1981
"NEFSC-YELLSNEMATL-1935-2011-HIVELY","YELLSNEMATL","Yellowtail Flounder Southern New England-Mid Atlantic","USA","US East Coast","Southern New England /Mid Atlantic",39.8879104812312,-72.4223479654383,76642.6735629275,"Yellowtail Flounder","Limanda ferruginea",1973,2011,39,"no",0,Inf
"NIWA-SOUTHHAKECR-1974-2012-FU","SOUTHHAKECR","Southern hake Chatham Rise","New Zealand","New Zealand","Chatham Rise",-43.2204717485023,-176.056883743201,800077.841833242,"Southern hake","Merluccius australis",1974,2012,39,"no",0,Inf
"NWFSC-YTROCKNPCOAST-1967-2005-STANTON","YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast",44.2846266095231,-126.341113762595,312364.716626321,"Yellowtail rockfish","Sebastes flavidus",1967,2005,39,"no",0,Inf
"VNIRO-WPOLLWBS-1970-2008-CHING","WPOLLWBS","Walleye pollock Western Bering Sea","Russia","Russia Japan","Western Bering Sea",59.2233460102007,174.664292747933,477651.29156373,"Walleye pollock","Theragra chalcogramma",1970,2008,39,"no",0,Inf
"AFSC-NRSOLEEBSAI-1975-2012-HIVELY","NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","USA","US Alaska","Eastern Bering Sea and Aleutian Islands",57.8849056579222,-168.074686929032,556506.779445143,"Northern rock sole","Lepidopsetta polyxystra",1975,2012,38,"no",0,Inf
"AFSC-PCODGA-1977-2014-HIVELY","PCODGA","Pacific cod Gulf of Alaska","USA","US Alaska","Gulf of Alaska",57.1152218108102,-154.178373540114,267058.516566846,"Pacific cod","Gadus macrocephalus",1977,2014,38,"no",0,Inf
"AFSC-REYEROCKBSAI-1974-2015-HIVELY","REYEROCKBSAI","Rougheye rockfish Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",53.637272625994,-170.516819612881,186778.164321901,"Rougheye rockfish","Sebastes aleutianus",1977,2014,38,"no",0,Inf
"DFO-MAR-CUSK4X-1970-2007-RICARD","CUSK4X","Cusk NAFO 4X","Canada","Canada East Coast","Western Scotian Shelf",42.2023391195074,-64.9852404225388,155224.96173621,"Cusk","Brosme brosme",1970,2007,38,"no",0,Inf
"WGBFAS-HERR30-1972-2011-NEUBAUER","HERR30","Herring ICES 30","multinational","European Union","Bothnian Sea",61.903174841927,19.5543280469228,64404.7358291301,"Herring","Clupea harengus",1973,2010,38,"no",0,Inf
"AFSC-PCODBSAI-1964-2013-CHING","PCODBSAI","Pacific cod Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",58.2854874530044,-168.952473163881,668751.437783167,"Pacific cod","Gadus macrocephalus",1977,2013,37,"no",0,Inf
"AFSC-WPOLLGA-1970-2014-HIVELY","WPOLLGA","Walleye pollock Gulf of Alaska","USA","US Alaska","Gulf of Alaska",57.0815139886092,-153.677499601126,295520.550437548,"Walleye pollock","Theragra chalcogramma",1977,2013,37,"no",0,Inf
