"assessid","stockid","stocklong","country","region","area","lat_dd","long_dd","area_sqkm","common_name","sci_name","yr1","yr2","nyr","collapse","nyrs.collapsed","yr.1st.collapse"
"IATTC-BIGEYEEPAC-1954-2012-PONS","BIGEYEEPAC","Bigeye tuna Eastern Pacific","multinational","Pacific Ocean","Eastern Pacific",-8.68294777966568,-116.63315180093,37218632.6954846,"Bigeye tuna","Thunnus obesus",1976,2012,37,"no",0,Inf
"IATTC-YFINEPAC-1950-2012-PONS","YFINEPAC","Yellowfin tuna Eastern Pacific","multinational","Pacific Ocean","Northeast Pacific",-8.68294777966568,-116.63315180093,37218632.6954846,"Yellowfin tuna","Thunnus albacares",1976,2012,37,"no",0,Inf
"NWFSC-CABEZORECOAST-1973-2009-STACHURA","CABEZORECOAST","Cabezon Oregon Coast","USA","US West Coast","Oregon Coast",44.1538666105004,-126.536438362503,181160.332288858,"Cabezon","Scorpaenichthys marmoratus",1973,2009,37,"no",0,Inf
"NZMFishMIDDEPTHSWG-SBWHITACIR-1977-2013-FU","SBWHITACIR","Southern blue whiting Campbell Island Rise","New Zealand","New Zealand","New Zealand - Campbell Island Rise",-52.8638392690762,171.65749932102,249261.84738419,"Southern blue whiting","Micromesistius australis",1977,2013,37,"no",0,Inf
"AFSC-ALPLAICBSAI-1972-2010-STACHURA","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",58.7326021190629,-167.823361149323,424076.229128217,"Alaska plaice","Pleuronectes quadrituberculatus",1975,2010,36,"no",0,Inf
"AFSC-WPOLLAI-1976-2013-CHING","WPOLLAI","Walleye pollock Aleutian Islands","USA","US Alaska","Aleutian Islands",53.0596804564962,-172.576082770487,280457.416198594,"Walleye pollock","Theragra chalcogramma",1978,2013,36,"no",0,Inf
"CSIRO-PTOOTHFISHMI-1975-2010-FAY","PTOOTHFISHMI","Patagonian toothfish Macquarie Island","Australia","Australia","Macquarie Island",-54.8779900957571,158.650029490197,474468.227231023,"Patagonian toothfish","Dissostichus eleginoides",1975,2010,36,"no",0,Inf
"ISC-STMARLINWCNPAC-1951-2010-CHING","STMARLINWCNPAC","Striped marlin Western and Central North Pacific","Multinational","Pacific Ocean","Western and Central North Pacific",23.1255055026214,150.718987316856,45383171.6204222,"striped marlin","Kajikia audax",1975,2010,36,"no",0,Inf
"NIWA-BLACKOREOPR-1974-2009-CORDUE","BLACKOREOPR","Black Oreo Pukaki Rise","New Zealand","New Zealand","Pukaki Rise",-49.5780122575585,174.156769500656,214576.246519743,"Black oreo","Allocyttus niger",1974,2009,36,"no",0,Inf
"SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","STFLOUNNPCOAST","Starry flounder Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast",45.0227270720632,-126.306278943629,247654.500668066,"Starry flounder","Platichthys stellatus",1970,2005,36,"no",0,Inf
"SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","STFLOUNSPCOAST","Starry flounder Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast",39.1651993998497,-124.731790436169,163996.24774737,"Starry flounder","Platichthys stellatus",1970,2005,36,"no",0,Inf
"AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",56.7457312216551,-169.644500266549,372021.168304825,"Arrowtooth flounder","Reinhardtius stomias",1976,2010,35,"no",0,Inf
"AFSC-ATKABSAI-1976-2011-STACHURA","ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",54.5165610258829,-166.539714337993,46313.7890018696,"Atka mackerel","Pleurogrammus monopterygius",1977,2011,35,"no",0,Inf
"AFSC-NROCKBSAI-1974-2011-STACHURA","NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",54.2327678032396,-165.963455267706,141126.601250719,"Northern rockfish","Sebastes polyspinis",1977,2011,35,"no",0,Inf
"AFSC-PERCHEBSAI-1960-2011-STACHURA","PERCHEBSAI","Pacific Ocean perch Eastern Bering Sea and Aleutian Islands","USA","US Alaska","Eastern Bering Sea and Aleutian Islands",53.3893574620209,-168.604109962129,143912.189612889,"Pacific Ocean perch","Sebastes alutus",1977,2011,35,"no",0,Inf
"AFSC-SNOWCRABBS-1978-2013-HIVELY","SNOWCRABBS","Snow crab Bering Sea","USA","US Alaska","Bering Sea",59.1686284086047,-171.457276287664,291186.09359447,"Snow crab","Chionoecetes opilio",1978,2012,35,"no",0,Inf
"IATTC-STMARLINNEPAC-1954-2009-BRANCH","STMARLINNEPAC","Striped marlin Northeast Pacific","multinational","Atlantic Ocean","Northeast Pacific",14.4879771040319,-119.5800285249,22017914.5235855,"Striped marlin","Kajikia audax",1975,2009,35,"no",0,Inf
"NIWA-SMOOTHOREOSLD-1973-2007-CORDUE","SMOOTHOREOSLD","Smooth Oreo Southland","New Zealand","New Zealand","Southland",-46.7066013776629,170.780992260417,40756.5739427153,"Smooth oreo","Pseudocyttus maculatus",1973,2007,35,"no",0,Inf
"NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN","BLACKOREOWECR","Black oreo West end of Chatham Rise","New Zealand","New Zealand","West end of Chatham Rise",-44.2341488940611,173.912333600008,139670.851669235,"Black oreo","Allocyttus niger",1973,2007,35,"no",0,Inf
"SEFSC-YEGROUPGM-1975-2009-HIVELY","YEGROUPGM","Yellowedge grouper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.968488144,"Yellowedge grouper","Epinephelus flavolimbatus",1975,2009,35,"no",0,Inf
"WGBFAS-HERRRIGA-1976-2011-NEUBAUER","HERRRIGA","Herring ICES 28","multinational","European Union","Gulf of Riga East of Gotland",57.5804025717461,21.081897229631,55529.1655724554,"Herring","Clupea harengus",1977,2011,35,"no",0,Inf
"AFSC-FLSOLEBSAI-1974-2010-STACHURA","FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",58.2204366321824,-169.696396506675,522367.829153197,"Flathead sole","Hippoglossoides elassodon",1977,2010,34,"yes",5,1977
"NEFSC-CODGB-1976-2011-CHING","CODGB","Atlantic cod Georges Bank","USA","US East Coast","Georges Bank",41.4040066000161,-68.1908474501866,45986.5057478135,"Atlantic cod","Gadus morhua",1978,2011,34,"yes",19,1993
"NEFSC-HAD5Y-1964-2011-CHING","HAD5Y","Haddock NAFO-5Y","USA","US East Coast","Gulf of Maine",42.6518084453028,-69.4344538786656,36232.9845722584,"Haddock","Melanogrammus aeglefinus",1977,2010,34,"yes",6,1988
"NIWA-SMOOTHOREOEPR-1973-2006-CORDUE","SMOOTHOREOEPR","Smooth Oreo East Pukaki Rise","New Zealand","New Zealand","East Pukaki Rise",-49.5780122575585,174.156769500656,214576.246519743,"Smooth oreo","Pseudocyttus maculatus",1973,2006,34,"no",0,Inf
"SEFSC-LISQUIDATLC-1963-2009-HIVELY","LISQUIDATLC","Longfin inshore squid Atlantic Coast","USA","US Southeast and Gulf","Atlantic Coast",39.7040436179978,-72.1307824605165,156174.447056279,"Longfin inshore squid","Loligo pealeii",1976,2009,34,"no",0,Inf
"SEFSC-RGROUPSATL-1976-2009-HIVELY","RGROUPSATL","Red grouper South Atlantic","USA","US Southeast and Gulf","South Atlantic",31.1877602345803,-78.3029264602483,335331.056542966,"Red grouper","Epinephelus morio",1976,2009,34,"no",0,Inf
"AFSC-DUSROCKGA-1973-2010-STACHURA","DUSROCKGA","Dusky rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska",56.5412981386434,-154.566228332755,164872.210523529,"Dusky rockfish","Sebastes variabilis",1977,2009,33,"no",0,Inf
"AFSC-REYEROCKGA-1974-2010-STACHURA","REYEROCKGA","Rougheye rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska",57.0688420916742,-152.26103460171,196756.122810058,"Rougheye rockfish","Sebastes aleutianus",1977,2009,33,"no",0,Inf
"AFSC-RKCRABNS-1976-2008-JENSEN","RKCRABNS","Red king crab Norton Sound","USA","US Alaska","Norton Sound",64.0813648905569,-165.095956738312,11342.6684596874,"Red king crab","Paralithodes camtschaticus",1976,2008,33,"no",0,Inf
"NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","WINDOWGOMGB","Windowpane flounder - Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank",41.4052060721384,-68.3376438400911,41064.3897833033,"Windowpane","Scophthalmus aquosus",1975,2007,33,"yes",3,1991
"NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","WINDOWSNEMATL","Windowpane Southern New England-Mid Atlantic","USA","US East Coast","Southern New England /Mid Atlantic",39.4021913324164,-73.2118812242511,94506.8381025985,"Windowpane","Scophthalmus aquosus",1975,2007,33,"no",0,Inf
"SEFSC-BSBASSSATL-1950-2010-HIVELY","BSBASSSATL","Black sea bass South Atlantic","USA","US Southeast and Gulf","South Atlantic",31.1877602345803,-78.3029264602483,335331.056542966,"Black Sea Bass","Centropristis striata",1978,2010,33,"no",0,Inf
"WGCSE-CODVIa-1981-2012-CHING","CODVIa","Atlantic cod West of Scotland","multinational","European Union","West of Scotland",57.5224191483904,-8.51394966309718,235806.533923361,"Atlantic cod","Gadus morhua",1981,2012,32,"yes",9,2004
"AFSC-BKINGCRABSMI-1960-2008-JENSEN","BKINGCRABSMI","Blue king crab Saint Matthews Island","USA","US Alaska","Saint Matthews Island",59.9797581966548,-173.941291911465,38011.1601610049,"Blue king crab","Paralithodes platypus",1978,2008,31,"no",0,Inf
"NEFSC-AMPL5YZ-1960-2010-HIVELY","AMPL5YZ","American Plaice NAFO-5YZ","USA","US East Coast","Gulf of Maine / Georges Bank",42.8817701992424,-69.0328266707614,88691.3624639558,"American Plaice","Hippoglossoides platessoides",1980,2010,31,"no",0,Inf
"NEFSC-SFLOUNMATLC-1940-2012-HIVELY","SFLOUNMATLC","Summer flounder Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast",36.5075773823055,-75.4839574368189,282937.522624405,"Summer flounder","Paralichthys dentatus",1982,2012,31,"yes",5,1988
"ASMFC-ATLCROAKMATLC-1973-2002-STANTON","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast",37.8265125103676,-72.1570078907392,445424.588086568,"Atlantic croaker","Micropogonias undulatus",1973,2002,30,"no",0,Inf
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","DEEPFLATHEADSE","Deepwater flathead Southeast Australia","Australia","Australia","Southeast Australia",-35.0185488424619,133.236100131752,205937.03249856,"Deepwater flathead","Platycephalus conatus",1978,2007,30,"no",0,Inf
"CSIRO-OROUGHYSE-1978-2007-FULTON","OROUGHYSE","Orange roughy Southeast Australia","Australia","Australia","Southeast Australia",-34.3407256235828,131.636054421769,97911.0391174729,"Orange roughy","Hoplostethus atlanticus",1978,2007,30,"no",0,Inf
"NEFSC-CODGOM-1981-2011-CHING","CODGOM","Atlantic cod Gulf of Maine","USA","US East Coast","Gulf of Maine",43.2869677851352,-69.1452389394204,43902.4392272694,"Atlantic cod","Gadus morhua",1982,2011,30,"yes",16,1992
"NEFSC-WINFLOUNSNEMATL-1980-2010-HIVELY","WINFLOUNSNEMATL","Winter Flounder Southern New England-Mid Atlantic","USA","US East Coast","Southern New England /Mid Atlantic",40.6950399317921,-71.6800407729255,45553.302201296,"Winter Flounder","Pseudopleuronectes americanus",1981,2010,30,"yes",23,1987
"SEFSC-BTIPSHARGM-1981-2010-HIVELY","BTIPSHARGM","Blacktip shark Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.2500149299475,-88.1620496906609,158726.064372581,"Blacktip shark","Carcharhinus limbatus",1981,2010,30,"no",0,Inf
"SEFSC-SBARSHARATL-1975-2004-FAUCONNET","SBARSHARATL","Sandbar shark Atlantic","USA","US Southeast and Gulf","Atlantic",35.1403856286023,-76.3813073047661,402636.558435435,"Sandbar shark","Carcharhinus plumbeus",1975,2004,30,"no",0,Inf
"AFSC-RKCRABPI-1981-2009-JENSEN","RKCRABPI","Red king crab Pribilof Islands","USA","US Alaska","Pribilof Islands",57.210750676096,-169.967703442496,5822.6471847075,"Red king crab","Paralithodes camtschaticus",1981,2009,29,"yes",6,1984
"CSIRO-SILVERFISHSE-1978-2006-FULTON","SILVERFISHSE","Silverfish Southeast Australia","Australia","Australia","Southeast Australia",-39.8019587527136,145.267041641997,247255.935018623,"Silverfish","Seriolella punctata",1978,2006,29,"no",0,Inf
"NEFSC-WINFLOUN5Z-1964-2011-HIVELY","WINFLOUN5Z","Winter Flounder NAFO-5Z","USA","US East Coast","Georges Bank",41.432505435115,-68.3051173707312,19498.1335963246,"Winter Flounder","Pseudopleuronectes americanus",1982,2010,29,"no",0,Inf
"AFSC-BKINGCRABPI-1960-2008-JENSEN","BKINGCRABPI","Blue king crab Pribilof Islands","USA","US Alaska","Pribilof Islands",57.5023457212964,-170.025562422668,35247.8469083943,"Blue king crab","Paralithodes platypus",1981,2008,28,"yes",7,1989
"NEFSC-SURFMATLC-1965-2008-JACOBSON","SURFMATLC","Atlantic surfclam Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast",38.4152819262747,-74.4434743116208,61298.7944656188,"Atlantic surfclam","Spisula solidissima",1981,2008,28,"no",0,Inf
"NEFSC-WEAKFISHATLC-1981-2008-STANTON","WEAKFISHATLC","Weakfish Atlantic Coast","USA","US East Coast","Atlantic Coast",35.9089538107213,-73.8529557703823,910227.994009697,"Weakfish","Cynoscion regalis",1981,2008,28,"yes",2,2007
"NIWA-SCMPBP-1985-2012-FU","SCMPBP","Scampi Bay of Plenty","New Zealand","New Zealand","Bay of Plenty",-34.3891842427581,175.620441792915,239600.935298105,"Scampi","Metanephrops challengeri",1985,2012,28,"no",0,Inf
"NIWA-SCMPWHB-1985-2012-FU","SCMPWHB","Scampi Wairapa/Hawke Bay","New Zealand","New Zealand","Wairarapa/Hawke Bay",-39.479202659996,-177.72802048824,413934.233699044,"Scampi","Metanephrops challengeri",1985,2012,28,"no",0,Inf
"AFSC-FLSOLEGA-1978-2010-STACHURA","FLSOLEGA","Flathead sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska",57.1640545125807,-153.65212444525,255749.87694471,"Flathead sole","Hippoglossoides elassodon",1984,2010,27,"no",0,Inf
"NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","USA","US West Coast","Oregon Coast",44.1538666105004,-126.536438362503,181160.332288858,"Kelp greenling","Hexagrammos decagrammus",1979,2005,27,"no",0,Inf
"NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN","NZLINGLIN6b","New Zealand ling New Zealand Area LIN 6b","New Zealand","New Zealand","New Zealand Areas LIN 6b",-48.6992214737785,-177.474693367548,447116.492253637,"Ling","Genypterus blacodes",1980,2006,27,"no",0,Inf
"AFSC-DSOLEGA-1978-2009-STACHURA","DSOLEGA","Dover sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska",57.704670556794,-150.744994032588,214506.257746139,"Dover sole","Microstomus pacificus",1984,2009,26,"no",0,Inf
"ASMFC-LOBSTERGOM-1981-2007-STANTON","LOBSTERGOM","American lobster Gulf of Maine","USA","US East Coast","Gulf of Maine",43.2569393583022,-68.9264745565666,56229.6198332439,"American lobster","Homarus americanus",1982,2007,26,"no",0,Inf
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","BLUEFISHATLC","Bluefish Atlantic Coast","USA","US East Coast","Atlantic Coast",33.7166618095291,-76.1216085979571,634594.146537687,"Bluefish","Pomatomus saltatrix",1982,2007,26,"no",0,Inf
"NEFSC-WITFLOUN5Y-1982-2008-WIGLEY","WITFLOUN5Y","Witch Flounder NAFO-5Y","USA","US East Coast","Gulf of Maine",42.6479402891931,-68.9031695615203,159699.200392995,"Witch Flounder","Glyptocephalus cynoglossus",1982,2007,26,"no",0,Inf
"NIWA-SCMPMB-1989-2014-FU","SCMPMB","Scampi Mernoo Bank","New Zealand","New Zealand","Mernoo Bank",-44.770637177754,175.102673276815,333773.08304038,"Scampi","Metanephrops challengeri",1989,2014,26,"no",0,Inf
"NIWA-SMOOTHOREOBP-1983-2008-CORDUE","SMOOTHOREOBP","Smooth Oreo Bounty Plateau","New Zealand","New Zealand","Bounty Plateau",-47.1610796549156,177.919817671374,148174.212983428,"Smooth oreo","Pseudocyttus maculatus",1983,2008,26,"no",0,Inf
"SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN","MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","USA","US Southeast and Gulf","Southern Atlantic coast and Gulf of Mexico",29.6555933731313,-83.2186897253918,666508.941871594,"Mutton snapper","Lutjanus analis",1981,2006,26,"no",0,Inf
"AFSC-RKCRABBB-1960-2008-JENSEN","RKCRABBB","Red king crab Bristol Bay","USA","US Alaska","Bristol Bay",56.9465596708925,-162.927699649859,135612.158972561,"Red king crab","Paralithodes camtschaticus",1985,2008,24,"no",0,Inf
"NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY","BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","USA","US East Coast","Gulf of Maine / Cape Hatteras",39.5654999731305,-72.3390975723611,212171.624500148,"Atlantic butterfish","Peprilus triacanthus",1989,2012,24,"no",0,Inf
"NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","SCUPNWATLC","Scup Atlantic Coast","USA","US East Coast","Northwestern Atlantic Coast",38.8332721778282,-73.4979490676757,141501.131176276,"Scup","Stenotomus chrysops",1984,2007,24,"yes",16,1984
"SEFSC-VSNAPGM-1981-2004-JENSEN","VSNAPGM","Vermilion snapper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"Vermilion snapper","Rhomboplites aurorubens",1981,2004,24,"no",0,Inf
"CSIRO-WAREHOUESE-1984-2006-FULTON","WAREHOUESE","Blue Warehou Eastern half of Southeast Australia","Australia","Australia","Eastern half of Southeast Australia",-38.910395024273,148.677295728507,111402.513685672,"Blue Warehou","Seriolella brama",1984,2006,23,"no",0,Inf
"CSIRO-WAREHOUWSE-1984-2006-FULTON","WAREHOUWSE","Blue Warehou Western half of Southeast Australia","Australia","Australia","Western half of Southeast Australia",-35.8684056411611,137.046286675881,349360.761364972,"Blue Warehou","Seriolella brama",1984,2006,23,"no",0,Inf
"DFO-MAR-SHAKE4VWX-1969-2015-OSGOOD","SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf and Bay of Fundy",42.0846617480834,-59.5931134947764,760834.56085816,"Silver hake","Merluccius bilinearis",1993,2015,23,"no",0,Inf
"NEFSC-YELLCCODGOM-1935-2008-LEGAULT","YELLCCODGOM","Yellowtail flounder Cape Cod / Gulf of Maine","USA","US East Coast","Cape Cod / Gulf of Maine",42.4861984652328,-70.4397020554487,14646.6391269359,"Yellowtail flounder","Limanda ferruginea",1985,2007,23,"yes",17,1985
"SEFSC-BLACKGROUPERGMSATL-1986-2008-THORSON","BLACKGROUPERGMSATL","Black Grouper Gulf of Mexico and South Atlantic","USA","US Southeast and Gulf","Gulf of Mexico and South Atlantic",29.6555933731313,-83.2186897253918,666508.941871594,"Black grouper","Mycteroperca bonaci",1986,2008,23,"no",0,Inf
"ICCAT-SWORDMED-1950-2009-CHING","SWORDMED","Swordfish Mediterranean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea",38.1524680121356,19.6236523444499,2996793.21237004,"Swordfish","Xiphias gladius",1987,2008,22,"no",0,Inf
"INIDEP-PATGRENADIERSARG-1983-2006-Parma","PATGRENADIERSARG","Patagonian grenadier Southern Argentina","Argentina","South America","Southern Argentina",-49.5220292549109,-63.6465168537762,789923.955190198,"Patagonian grenadier","Macruronus magellanicus",1985,2006,22,"no",0,Inf
"FAO-SPNWA-RSARDINWA-1990-2010-CHING","RSARDINWA","Round Sardinella West Africa","multinational","West Africa","West Africa",17.0045719725189,-17.1461393679422,955623.792548845,"Round sardinella","Sardinella aurita",1990,2010,21,"no",0,Inf
"FAO-SPNWA-SARDINWA-1990-2010-CHING","SARDINWA","Sardinella West Africa","multinational","West Africa","West Africa",17.8484463780649,-17.9800560753249,708123.676498228,"Sardinella","Sardinella spp",1990,2010,21,"no",0,Inf
"HAWG-HERR2224IIIa-1991-2011-NEUBAUER","HERR2224IIIa","Herring ICES 22-24-IIIa","multinational","European Union","22-24-IIIa",56.4138871948853,11.1596305515865,98654.907556252,"Herring","Clupea harengus",1991,2010,20,"no",0,Inf
"SEFSC-RGROUPGM-1986-2005-JENSEN","RGROUPGM","Red grouper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"Red grouper","Epinephelus morio",1986,2005,20,"no",0,Inf
"IPHC-PHALNPAC-1888-2014-HIVELY","PHALNPAC","Pacific halibut North Pacific","multinational","US Alaska","North Pacific",50.173057173502,-152.078721190699,7450320.21982006,"Pacific halibut","Hippoglossus stenolepis",1996,2014,19,"no",0,Inf
"MARAM-PTOOTHFISHPEI-1960-2015-Brandao","PTOOTHFISHPEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","South Africa","South Africa","South Africa Subantarctic Prince Edward Islands",-46.8329292748873,37.808521474681,474646.332379758,"Patagonian toothfish","Dissostichus eleginoides",1997,2015,19,"no",0,Inf
"SEFSC-GRAMBERGM-1986-2004-JENSEN","GRAMBERGM","Greater amberjack Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.968488144,"Greater amberjack","Seriola dumerili",1986,2004,19,"no",0,Inf
"INIDEP-ARGANCHONARG-1989-2007-Parma","ARGANCHONARG","Argentine anchoita Northern Argentina","Argentina","South America","Northern Argentina",-38.9337304456434,-57.1723971470768,283280.551905514,"Argentine anchoita","Engraulis anchoita",1990,2007,18,"no",0,Inf
"FAO-SPNWA-SARDWAZC-1990-2010-CHING","SARDWAZC","Sardine West Africa Zone C","multinational","West Africa","West Africa Zone C",23.3226208415486,-17.870206988623,224027.573126167,"Sardine","Sardina pilchardus",1995,2010,16,"yes",2,1997
"INIDEP-ARGANCHOSARG-1992-2007-Parma","ARGANCHOSARG","Argentine anchoita Southern Argentina","Argentina","South America","Southern Argentina",-49.5220292549109,-63.6465168537762,789923.955190198,"Argentine anchoita","Engraulis anchoita",1993,2007,15,"no",0,Inf
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","multinational","Mediterranean-Black Sea","South of Sicily",36.8724518264376,12.9820868109699,37679.310041157,"Sardine","Sardina pilchardus",1998,2011,14,"no",0,Inf
"CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN","ATOOTHFISHRS","Antarctic toothfish Ross Sea","multinational","Antarctic","Ross Sea",-70.0647908316315,-147.210651547065,5885710.87679544,"Antarctic toothfish","Dissostichus mawsoni",1995,2007,13,"no",0,Inf
"SWFSC-CALSCORPSCAL-1990-2005-STANTON","CALSCORPSCAL","California scorpionfish Southern California","USA","US West Coast","Southern California",33.0720325333246,-119.456713828192,91849.8244958058,"California scorpionfish","Scorpaena guttata",1995,2005,11,"no",0,Inf
"VNIRO-WPOLLNAVAR-1994-2004-JENSEN","WPOLLNAVAR","Walleye Pollock Navarinsky","Russia","Russia Japan","Navarinsky",62.4447521505613,-176.708407870954,126939.413570317,"Walleye pollock","Theragra chalcogramma",1994,2004,11,"no",0,Inf
